 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 210150 BARAO DE GRAJAU, 210300 CAXIAS, 211220 TIMON
Sexo: Fem
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;1;-;-;1;2;1;-;4;5;6;9;9;14;13;28;29;57;-;179
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;3;-;5
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;3
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;2
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;2
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;4;2;-;9
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;4;2;-;9
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;1;2;2;1;-;-;-;-;-;-;-;6
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;1;2;2;1;-;-;-;-;-;-;-;6
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"... 027 Toxoplasmose";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;1;-;-;1;2;1;-;3;3;2;7;8;13;12;27;24;52;-;156
"032-052 NEOPLASIAS";-;-;1;-;-;-;1;3;3;7;9;9;9;12;22;15;15;21;17;-;144
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;1;-;-;-;4
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;2;3;-;10
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;2;1;-;1;-;2;-;-;4;1;-;11
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;2;-;5
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;2;1;3;3;-;12
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;1;-;1;2;2;2;5;2;2;2;1;-;20
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;2;-;2;3;3;-;2;-;-;2;4;1;-;19
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;2;-;-;-;-;6
