 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 310650 BERILO, 310825 BONITO DE MINAS, 311700 COMERCINHO, 311783 CONEGO MARINHO, 311950 CORONEL MURTA, 312650 FRANCISCO BADARO, 312733 GAMELEIRAS, 313065 INDAIABIRA, 313652 JOSE GONCALVES DE MINAS, 313657 JOSENOPOLIS, 313695 JUVENILIA, 314225 MIRAVANIA, 314270 MONTALVANIA, 314537 NOVORIZONTE, 315560 RIO PARDO DE MINAS, 315650 RUBELITA, 315660 RUBIM, 316245 SAO JOAO DAS MISSOES, 317065 VARGEM GRANDE DO RIO PARDO, 317160 VIRGEM DA LAPA
Sexo: Fem
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;1;-;1;-;-;-;-;-;3;-;2;3;3;1;3;13;30
". 001 Doenças infecciosas intestinais";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;2;1;-;8;14
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;5;9
". 016-023 Doenças virais";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;1;-;2;4;11
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;1;-;2;4;11
"032-052 NEOPLASIAS";-;-;-;1;-;-;1;1;2;-;4;6;1;5;8;8;4;7;17;65
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;1;5
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;2;5
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;2;5
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;3
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;1;-;-;1;6
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;3
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;2;-;-;5
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 050 Leucemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;1;1;1;-;1;1;-;-;2;4;-;2;9;22
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;2;5
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;2;5
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;-;-;-;1;-;-;-;1;-;2;3;6;3;4;9;30
". 055 Diabetes mellitus";-;-;1;-;-;-;-;1;-;-;-;1;-;1;3;6;3;3;8;27
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;3
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;-;1;-;1;8
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;4
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;4
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;1;4
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2;-;-;3;7
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;4
". 063 Restante das doenças do sistema nervoso";-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;3
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;1;-;1;1;1;2;2;3;6;6;7;18;15;70;133
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;4;16;25
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;1;1;-;1;1;2;4;2;4;5;21
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;1;1;-;1;1;2;3;2;3;5;19
". 069 Outras doenças cardíacas";-;-;-;-;-;1;-;1;1;-;-;-;2;-;1;-;5;1;24;36
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;-;2;-;4;-;2;9;5;20;42
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;5;9
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;2;1;-;-;1;1;-;1;-;-;-;3;4;4;1;6;35;59
". 074 Pneumonia";-;-;1;-;-;-;1;1;-;1;-;-;-;2;4;1;-;5;26;42
". 075 Out infec agudas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 076 Doenças crônicas das vias aéreas inferiores";-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;3;-;1;6;12
"... 076.1 Asma";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3
". 077 Restante  doenças do aparelho respiratório";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;4
