 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220290 CORRENTE, 221120 URUCUI
Sexo: Masc
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;1;-;1;-;1;2;1;1;-;1;1;1;2;1;3;16
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;3
"... 014 Septicemia";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;3
". 016-023 Doenças virais";-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;3
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;1;-;-;-;1;1;-;1;1;-;1;-;1;7
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;-;-;1;-;-;-;3;1;3;2;3;2;15
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 053 Anemias";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;1;-;1;3;1;1;-;3;2;1;2;15
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;1;2;-;1;-;3;1;-;2;10
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;1;-;4
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;4
". 062 Epilepsia";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;-;1;2;3;2;1;5;4;5;9;1;17;50
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;3;7
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;2;1;1;-;1;-;2;3;-;4;14
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;2;3;-;4;13
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;1;-;1;-;1;-;2;-;3;1;2;11
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;1;1;-;2;1;-;2;-;8;15
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;2;-;-;-;-;1;2;1;1;8;1;10;26
". 073 Influenza (gripe)";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 074 Pneumonia";-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;1;4;-;7;15
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;4;1;2;9
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;1;-;-;-;-;2;-;-;1;-;-;-;3;1;-;-;-;8
". 080 Doenças do fígado";-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;-;-;4
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
". 082 Rest doenças do aparelho digestivo";-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;4
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
". 093 Feto e recemnasc afet fat mat e compl grav";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 096 Trans resp e cardiovas espec per perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 097 Rest afec originadas no período perinatal";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
". 098 Malformações congênitas do sistema nervoso";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 099 Malf congênitas do aparelho circulatório";1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;1;1;1;1;2;2;2;1;1;3;2;2;19
". 102 Morte sem assistência médica";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;1;-;1;1;2;2;2;1;1;2;2;2;17
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;1;-;5;2;5;6;5;3;2;1;3;-;-;1;1;1;36
". 104 Acidentes de transporte";-;-;-;-;-;2;1;2;1;3;2;1;-;2;-;-;1;-;-;15
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 106 Afogamento e submersões acidentais";-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;3
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;3
". 110 Agressões";-;-;-;-;-;1;1;2;4;2;-;1;-;-;-;-;-;1;-;12
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"Total";5;2;3;1;2;5;3;10;11;12;11;10;6;18;12;15;28;12;40;206
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
