 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220290 CORRENTE, 221120 URUCUI
Sexo: Fem
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;3
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;-;-;-;1;1;-;3;2;2;2;1;1;13
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;4
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 050 Leucemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;3
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;3
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;1;-;-;-;-;-;-;-;-;-;-;1;3;1;-;-;2;3;11
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;-;-;2;3;10
". 056 Desnutrição";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
