 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 260740 ITACURUBA
Sexo: Masc
Período:2019
"Causa - CID-BR-10";"50 a 54 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;1;1
". 001 Doenças infecciosas intestinais";-;-;-;-;1;1
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;1;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;1;1
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;1;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;1;1
". 069 Outras doenças cardíacas";-;-;-;-;1;1
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;2;2
". 074 Pneumonia";-;-;-;-;2;2
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";1;-;-;-;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;1;-;-;1
". 087 Rest doenças do aparelho geniturinário";-;-;1;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;1;-;1
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;1;-;1
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;1;-;-;-;1
". 109 Lesões autoprovocadas voluntariamente";-;1;-;-;-;1
"Total";1;1;1;1;5;9
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
