 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 312560 FELISBURGO, 313580 JEQUITINHONHA, 313930 MANGA
Sexo: Fem
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"1 a 4 anos";"15 a 19 anos";"20 a 24 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;-;-;1;-;1;1;1;3;4;11
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;1;-;1;1;-;1;3;7
"... 014 Septicemia";-;-;-;-;-;-;-;-;1;-;1;1;-;1;3;7
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;4
"032-052 NEOPLASIAS";-;-;-;-;-;-;1;2;2;8;4;7;4;3;4;35
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 050 Leucemia";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;2;6;3;6;2;2;3;24
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;4
". 053 Anemias";-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;4
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;-;-;1;-;2;3;8;14
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;1;-;1;2;7;11
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;-;-;1;-;2;4;7
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;6
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;1;-;-;-;-;-;-;-;3;3;3;2;4;23;39
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;2;-;-;-;11;13
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;-;1;-;1;7;9
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;-;1;-;1;7;9
". 069 Outras doenças cardíacas";-;1;-;-;-;-;-;-;-;1;-;1;1;1;3;8
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;2;1;-;1;2;2;8
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;-;1;-;1;2;4;16;24
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;-;-;1;2;4;7
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;1;1;-;8;10
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;1;-;-;-;2;4;7
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;3
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;3
