 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 291320 IBOTIRAMA
Sexo: Masc
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;-;1;2;2;5;2;3;2;2;2;7;28
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5;6
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5;6
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;1;2;2;4;2;3;2;2;2;2;22
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;-;-;-;2;1;2;2;4;1;3;15
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;2;5
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;4
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;-;-;-;-;-;-;1;-;2;-;2;2;3;11
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;2;6
". 056 Desnutrição";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;3
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;1;-;-;-;-;3;-;-;1;-;-;-;-;5
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;1;-;-;-;-;3;-;-;1;-;-;-;-;5
